NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY
"LASTRAS MARTINEZ,LUIS FELIPE","BLAS MARTINEZ,LUIS FELIPE",91.37931034482759
"LOME HURTADO,ALEJANDRO","BLUMENKRON HURTADO,ALEJANDRO A",81.66666666666667
"SOLIS GARCIA,HUGO","BOLIO ARCEO,HUGO",80.43478260869566
"BORBOLLA ESCOBOZA,JOSE RAFAEL","BORBOLLA ESCOBOZA,JOSE RAFAEL",100.0
"SANDOVAL SANDOVAL,EDGAR","BORRAYO SANDOVAL,EDGAR",83.33333333333334
"BOSQUES PADILLA,FRANCISCO JAVIER","BOSQUES PADILLA,FRANCISCO JAVIER",100.0
"BOTELLO MENDEZ,ANDRES RAFAEL","BOTELLO MENDEZ,ANDRES RAFAEL",100.0
"BOUDA,JAN","BOUDA,JAN",100.0
"DE LA GARZA DE LEON,OSCAR ALEJANDRO","BRAN DE LEON,OSCAR FERNANDO",70.18909899888766
"SILVA CASTILLO,LUIS HERNANDO","BRAVO CASTILLO,LUIS ARMANDO",75.71428571428572
"BETANCOURT DE LA PARRA,ALEJANDRO","BRAVO DE LA PARRA,ALEJANDRA",82.90598290598291
"BRAVO DE LA PARRA,MARIA ALEJANDRA","BRAVO DE LA PARRA,MARIA ALEJANDRA",100.0
"ARANDA GARCIA,ERICK","BRAVO GARCIA,ERICA",76.0
"BRAVO ESPINOSA,MIGUEL","BRAVO ZANOGUERA,MIGUEL",81.0344827586207
"BRAVO PONCE,ALEJANDRA","BRAVO,ALEJANDRA",81.25
