NOMBRE_INVENTOR
"Rivas Alas,Ricardo Andre"
"Perez Toledo,Humberto"
"Romero Perez,Rodrigo"
"Romero Beltran,Julian"
"Segura Salgado,Jose Antonio"
"Martinez Romero,Diego Clemente"
"Fernandez Sanchez,Francisco Jose"
"Bhattacharya,Sushant"
"Oblea Ramirez,Francisco Jose"
"Dispoto,Gary J"
"Sandfort,Patrick"
"Zeng,Jun"
"Simske,Steven J"
"Allen,William J"
"Birk,Peter Daniel"
"Gonzalez Borjon,Cesar Eduardo"
"Nassar,Nader M"
"Lopez Meyer,Paulo"
"Pearce,David"
"Cilingir,Gokcen"
"Kupryjanow,Adam"
"Jaber,Suhel"
"Garcia Martinez,Moises"
"Campos Canton,Eric"
"Hoy,Jeffrey R"
"Magro,Agueda M H"
"Boss,Gregory J"
"Dash,Alan"
"Bramblett,Shawn M"
"Merino Almeida,Carlos Emilio"
"Rodriguez Vazquez,Jorge Manuel"
"Leff Yaffe,Jonatan"
"Fukutomi,Yoshitomo"
"Uehara,Takafumi"
"Madrigal,Jose"
"Parker,Ty"
"Luevano,Patricia"
"Horta,Gabriel"
"Gutierrez,Jose Humberto"
"Mondragon,Norberto"
"Camacho,Julio"
"Scaduto,Joseph S"
"Padget,Bradley D"
"Badar,Timothy G"
"Garcia,Gustavo"
"Bachtell,Robert"
"Bennett,William F"
"Gomez Romo,Daniel Francisco"
"Henley,Joshua David"
"Prevratil,Karyne Poissant"
"Sanchez,Jose Martinez"
"Waruiru,David Kimondo"
"Flores,Julian Bautista"
"Byrne,Norman R"
"Givaudan,Jorge Angulo"
"Petersen,Thomas A"
"Wirgau,Elizabeth A"
"Padilla Arias,Cuauthli"
"Trujillo Tejeda,Marco Antonio"
"Vredeveld,Paul"
"Parra Becerra,Santiago Manuel"
"De Jesus,Juan"
"Huitron,Leonardo Alonso"
"Herrera Gutierrez,Michelle Carolina"
"Soni Gutierrez,Luis Humberto"
"Guzman Colin,Jose Manuel"
"Kawamura,Masaki"
"Okabe,Koji"
"Tsutsumi,Noriyuki"
"Umeda,Yoshikazu"
"Camacho Paredes,Juan Antonio"
"Robles Gonzalez,Gilberto"
"Hernandez Zamora,Gabriel"
"Cortes i Herms,Sebastia"
"Del Angel,Ana Patricia"
"White,Scott"
"Feldman,Konrad S"
"Blum,Michael R"
"Vogel Fernandez de Castro,Daniel"
"Garza,Isidro Alvarez"
"Fouquet,Romain"
"Jia,Hongwu"
"Pan,Yule"
"Resendiz Hernandez,Guadalupe"
"Jegorov,Alexander"
"Aybar,Martin"
"Gavenda,Ales"
"Cante,Ivon"
"Rodriguez,Angel"
"Torres,Alejandro Guillen"
"Villalva,Nidia"
"Herrera,Hugo"
"Lopez,Nydia"
"Kantor,Hana"
"Morales,Jose Manuel Torner"
"Stone,Bruce L"
"Cervantes Sandoval,Cesar"
"Roldan Gonzalez,Oscar Manuel"
"Bonilla,Jose Luis Perez"
"Mendoza Aguilar,America Elizabeth"
"Kim,Sung Jae"
"Ramirez Estrada,Alejandro"
"Cisneros Devora,Rodolfo"
"Nieto Alvarez,David Aaron"
"Pons Jimenez,Mirna"
"Luna Rojero,Erick Emanuel"
"Mena Cervantes,Violeta Yazmin"
"Medina Huerta,Mario Alejandro"
"Vasquez Henao,Nathali"
"Ortiz Flores,Jorge Arturo"
"Acosta Rodriguez,Armando"
"Zepeda Lopez,Ernesto"
"Stock,Andreas"
"Ortiz,Luis Angel Ramirez"
"Angerer,Christof"
"Riedinger,Markus"
"Lopez,Allan Dassaev Cadena"
"Peter,Gilles"
"Chau,Christopher Yim"
"Hernandez,Irving"
"Marquez,Adrian"
"Salem,Haithum"
"Reeves,Joseph"
"Soto Delgado,Enrique"
"Salinas,Ruben"
"Garcia Zarco,Pedro"
"Negrete Cortes,Victor"
"Badillo Gutierrez,Jose Abinadi"
"del Puerto,Raul Emilio"
"Lepe,Ivonne Ruth"
"Bartolo Trujillo,Javier"
"Diaz Paredes,Gerardo"
"Salas Garcia,Arturo Emmanuel"
"Hagedorn,Gregory"
"Mejia Caballero,Eduardo Daniel"
"Hernandez Guzman,Jose Luis"
"Reyes Guerra,JoseRafael"
"McBurney,Craig"
"Santana,Miguel Angel"
"Kachline,John"
"Salsbury,Timothy I"
"Ajax,Michael J"
"Perez,Carlos Felipe Alcala"
"Espinosa Magana,Lazaro"
"Pourladian,Bamdad"
"Mariscal,Daniel Orozco"
"Estrada,Rogelio Eduardo"
"Flores,Jose Manuel"
"Flowerday,Crispin Edward Harold"
"Sareshwala,Faraaz Aejaz"
"Kamprath,Michael F"
"Lira,Jorge Ivan Ramirez"
"Tennyson,Michael James"
"Jenkins,Robert H"
"Torre,Frank"
"Mueller,Brian Jeffrey"
