Inventor,inventor_id,a
Rodolfo Ramirez,fl:ro_ln:ramirez-17,
Rodrigo Alonso Galindo,fl:ro_ln:galindo-1,
Rodrigo Flores Maldonado,fl:ro_ln:maldonado-4,
Rodrigo Lobeira Massu,fl:ro_ln:lobeiramassu-1,
Rogelio Fernando Gutierrez Valdes,fl:ro_ln:gutierrezvaldes-1,
Rogelio Hernandez Suarez,fl:ro_ln:hernandezsuarez-1,
Romeo Jesús Reyes Ávila,fl:ro_ln:reyesavila-1,
Romualdo Segura Ruiz,fl:ro_ln:seguraruiz-1,
Rosa N. Gutierrez Aguilar,fl:ro_ln:gutierrezaguilar-1,
Rubi Elizabeth Triana Zorsano,fl:ru_ln:trianazorsano-1,
Salvador Iturbide Jimenez,fl:sa_ln:iturbidejimenez-1,
Salvador Valtierra-Gallardo,fl:sa_ln:valtierragallardo-1,
Samir Kumar Maity,fl:sa_ln:maity-3,
Sara Trevino Garza,fl:sa_ln:garza-1,
Saul Escobar,fl:sa_ln:escobar-2,
Saulo David Cortes Cervantes,fl:sa_ln:cortescervantes-1,
Sebastian Rosas Contreras,fl:se_ln:rosascontreras-1,
Sergio Acosta,fl:se_ln:acosta-1,
