Nombre Inventor
"Camposeco Solis,Roberto"
"Hernandez,Roberto"
"Carrillo Gonzalez,Roberto J"
"Krumm Cortes,Roberto"
"QUINTANA SOLORZANO,Roberto"
"Villegas Muriel,Roberto"
"De La Mora Ramirez,Rodolfo"
"Frieventh Cienfuegos,Rodrigo"
"Alanis Villarreal,Rolando Jesus"
"M Lopez,Ruben"
"A Canales,Salvador"
"Alvarez Islas,Salvador"
"Zhu,Sean"
"Esquivel Alvarez,Sergio David"
"Garcia de Alba Garcin,Sergio"
"Montero Orozco,Sergio Octavio"
"Ortiz Michel,Teodoro"
"Sosa Herrera,Victor Adrian"
"Palacios Rivera,Victor"
"Juarez,Victoria"
"Mena Cervantes,Violeta Yazmin"
"Ortega Conde,Virginia"
"Almonte,Viviano"
"Cano Rodriguez,Vladimir"
"Mendez Ramirez,Wesley"
"Martinez Cortes,William"
"Mendez Morales,Adolfo"
"Portillo Mercado,Agustin"
"Aguilar,Albert"
"Alcocer Ochoa,Alberto"
"Pulido Sanchez,Alberto Jose"
"Gonzalez Montiel,Alfonso"
"Medellin,Alfonso"
"RODRIGUEZ HERNANDEZ,Andrea"
"Tomko,Annita"
"Syrquin Jamson,Ari"
"Echanove Hernandez,Arturo"
"Garcia,Arturo"
"Maceda,Arturo"
"Villalobos Lopez,Arturo"
"Alvarez,Benito"
"Gonzalez Salitrero,Carla Cristina"
"Arroyo,Carlos"
"Gottfried,Carlos"
"Urzua Hernandez,Carlos Manuel"
"Ornelas,Carlos"
"Vonderwalde Freidberg,Carlos"
"Vargas Garcia,Carmen Frida"
"Chapa,Daniel"
"Joseph,Daniel"
"Joseph Hernandez,Daniel"
"Castro Duran,David"
"Villarreal,David"
"Guzman Lucero,Diego Javier"
"Borrayo,Edgar"
"Ortega Garcia,Edgar Javier"
"Alva Sanchez,Eduardo"
"Sacristan,Emilio"
"Sacristan Rock,Emilio"
"Cevada Maya,Enrique"
"Delgado Macias,Enrique"
"Arellano Aguilar,Eric Bryan"
"Bernardo De La Rosa,Luis"
"Sandoval Camacho,Esteban"
"Cruz,Felix"
"Villavicencio,Fernando"
"Hernandez Beltran,Francisco Javier"
"Javier Lujan,Francisco"
"Ronquillo Melendez,Francisco"
"Rubio Khalil,Franghie"
"Casas Jassan,Genaro"
"Gomez Soto,Gerardo"
"Plata Contreras,Gerardo"
"Rodriguez Najera,Gerardo"
"Zavala Olivares,Gerardo"
"M Myers,Grant"
"Alanis,Guillermo"
"Castano,Guillermo"
"Morales Cabrera,Gustavo"
"Mendoza Saldivar,Hector Alberto"
"PENA,Henry"
"Scheffler Hudlet,Herbert"
"MEJIA CENTENO,Isidro"
"Cruz Ruiz,Israel"
"Nacif Benavides,Jamil"
"Crommen,Jan"
"Gomez,Javier"
"Villarreal Rios,Jeronimo R"
"GALARZA MACIAS,JESSICA"
"Angulo Givaudan,Jorge"
"Araujo Nieto,Jorge"
"Cervantes Guadarrama,Jorge"
"D Berrun Castanon,Jorge"
"La Fuente Farias,Jorge De"
"Ramirez Perez,Jorge Francisco"
"Morales,Jorge"
"Richard Angulo,Jorge"
"Sanchez Gonzalez,Jorge"
"A Gutierrez,Jose"
"Teran Matus,Jose Adalberto"
